time,ball_x,ball_y,ball_z
2.750000,1.191118707,-0.000128276,0.021314321
2.760000,1.192466064,-0.000128377,0.021314098
2.770000,1.193798459,-0.000128477,0.021313876
2.780000,1.195116015,-0.000128575,0.021313656
2.790000,1.196418854,-0.000128671,0.021313437
2.800000,1.197707096,-0.000128765,0.021313221
2.810000,1.198980861,-0.000128858,0.021313006
2.820000,1.200240268,-0.000128949,0.021312793
2.830000,1.201485433,-0.000129038,0.021312582
2.840000,1.202716474,-0.000129125,0.021312373
2.850000,1.203933506,-0.000129212,0.021312165
2.860000,1.205136645,-0.000129296,0.021311959
2.870000,1.206326003,-0.000129379,0.021311755
2.880000,1.207501694,-0.000129460,0.021311552
2.890000,1.208663830,-0.000129540,0.021311351
2.900000,1.209812521,-0.000129619,0.021311152
2.910000,1.210947879,-0.000129696,0.021310954
2.920000,1.212070011,-0.000129771,0.021310758
2.930000,1.213179027,-0.000129846,0.021310564
2.940000,1.214275034,-0.000129918,0.021310371
2.950000,1.215358139,-0.000129990,0.021310180
2.960000,1.216428447,-0.000130060,0.021309990
2.970000,1.217486063,-0.000130129,0.021309802
2.980000,1.218531091,-0.000130197,0.021309615
2.990000,1.219563635,-0.000130263,0.021309430
3.000000,1.220583797,-0.000130329,0.021309247
3.010000,1.221591677,-0.000130393,0.021309064
3.020000,1.222587378,-0.000130456,0.021308884
3.030000,1.223570998,-0.000130517,0.021308705
3.040000,1.224542637,-0.000130578,0.021308527
3.050000,1.225502392,-0.000130638,0.021308351
3.060000,1.226450362,-0.000130696,0.021308177
3.070000,1.227386643,-0.000130753,0.021308003
3.080000,1.228311331,-0.000130810,0.021307832
3.090000,1.229224521,-0.000130865,0.021307661
3.100000,1.230126307,-0.000130919,0.021307492
3.110000,1.231016782,-0.000130973,0.021307325
3.120000,1.231896040,-0.000131025,0.021307158
3.130000,1.232764172,-0.000131076,0.021306993
3.140000,1.233621270,-0.000131127,0.021306830
3.150000,1.234467424,-0.000131176,0.021306668
3.160000,1.235302724,-0.000131225,0.021306507
3.170000,1.236127258,-0.000131272,0.021306347
3.180000,1.236941116,-0.000131319,0.021306189
3.190000,1.237744385,-0.000131365,0.021306032
3.200000,1.238537151,-0.000131410,0.021305877
3.210000,1.239319501,-0.000131455,0.021305722
3.220000,1.240091520,-0.000131498,0.021305569
3.230000,1.240853292,-0.000131541,0.021305418
3.240000,1.241604903,-0.000131583,0.021305267
3.250000,1.242346436,-0.000131624,0.021305118
3.260000,1.243077972,-0.000131664,0.021304970
3.270000,1.243799595,-0.000131704,0.021304823
3.280000,1.244511384,-0.000131743,0.021304677
3.290000,1.245213422,-0.000131781,0.021304533
3.300000,1.245905788,-0.000131819,0.021304389
3.310000,1.246588562,-0.000131856,0.021304247
3.320000,1.247261822,-0.000131892,0.021304106
3.330000,1.247925646,-0.000131927,0.021303967
3.340000,1.248580111,-0.000131962,0.021303828
3.350000,1.249225295,-0.000131996,0.021303691
3.360000,1.249861274,-0.000132030,0.021303554
3.370000,1.250488124,-0.000132063,0.021303419
3.380000,1.251105918,-0.000132095,0.021303285
3.390000,1.251714732,-0.000132127,0.021303152
3.400000,1.252314639,-0.000132158,0.021303020
3.410000,1.252905712,-0.000132189,0.021302889
3.420000,1.253488025,-0.000132219,0.021302759
3.430000,1.254061648,-0.000132249,0.021302631
3.440000,1.254626653,-0.000132278,0.021302503
3.450000,1.255183111,-0.000132306,0.021302376
3.460000,1.255731092,-0.000132334,0.021302251
3.470000,1.256270666,-0.000132362,0.021302126
3.480000,1.256801901,-0.000132389,0.021302003
3.490000,1.257324867,-0.000132415,0.021301880
3.500000,1.257839631,-0.000132441,0.021301759
3.510000,1.258346260,-0.000132466,0.021301639
3.520000,1.258844821,-0.000132491,0.021301519
3.530000,1.259335381,-0.000132516,0.021301401
3.540000,1.259818005,-0.000132540,0.021301283
3.550000,1.260292758,-0.000132564,0.021301167
3.560000,1.260759706,-0.000132587,0.021301051
3.570000,1.261218911,-0.000132610,0.021300936
3.580000,1.261670439,-0.000132632,0.021300823
3.590000,1.262114351,-0.000132654,0.021300710
3.600000,1.262550710,-0.000132676,0.021300598
3.610000,1.262979579,-0.000132697,0.021300487
3.620000,1.263401018,-0.000132718,0.021300377
3.630000,1.263815090,-0.000132738,0.021300268
3.640000,1.264221854,-0.000132758,0.021300160
3.650000,1.264621371,-0.000132778,0.021300053
3.660000,1.265013699,-0.000132797,0.021299946
3.670000,1.265398900,-0.000132816,0.021299841
3.680000,1.265777062,-0.000132835,0.021299754
3.690000,1.266148310,-0.000132853,0.021299694
3.700000,1.266512771,-0.000132871,0.021299658
3.710000,1.266870568,-0.000132889,0.021299637
3.720000,1.267221825,-0.000132906,0.021299626
3.730000,1.267566659,-0.000132923,0.021299619
3.740000,1.267905189,-0.000132940,0.021299616
3.750000,1.268237530,-0.000132956,0.021299614
3.760000,1.268563794,-0.000132972,0.021299613
3.770000,1.268884094,-0.000132988,0.021299612
3.780000,1.269198538,-0.000133003,0.021299612
3.790000,1.269507234,-0.000133019,0.021299612
3.800000,1.269810285,-0.000133034,0.021299612
3.810000,1.270107796,-0.000133048,0.021299612
3.820000,1.270399868,-0.000133063,0.021299612
3.830000,1.270686600,-0.000133077,0.021299612
3.840000,1.270968090,-0.000133091,0.021299612
3.850000,1.271244433,-0.000133104,0.021299612
3.860000,1.271515725,-0.000133118,0.021299612
3.870000,1.271782056,-0.000133131,0.021299612
3.880000,1.272043518,-0.000133144,0.021299612
3.890000,1.272300200,-0.000133156,0.021299612
3.900000,1.272552190,-0.000133169,0.021299612
3.910000,1.272799572,-0.000133181,0.021299612
3.920000,1.273042432,-0.000133193,0.021299612
3.930000,1.273280851,-0.000133204,0.021299612
3.940000,1.273514912,-0.000133216,0.021299612
3.950000,1.273744693,-0.000133227,0.021299612
3.960000,1.273970274,-0.000133238,0.021299612
3.970000,1.274191730,-0.000133249,0.021299612
3.980000,1.274409138,-0.000133260,0.021299612
3.990000,1.274622571,-0.000133271,0.021299612
4.000000,1.274832102,-0.000133281,0.021299612
4.010000,1.275037802,-0.000133291,0.021299612
4.020000,1.275239741,-0.000133301,0.021299612
4.030000,1.275437988,-0.000133311,0.021299612
4.040000,1.275632611,-0.000133320,0.021299612
4.050000,1.275823676,-0.000133330,0.021299612
4.060000,1.276011248,-0.000133339,0.021299612
4.070000,1.276195390,-0.000133348,0.021299612
4.080000,1.276376166,-0.000133357,0.021299612
4.090000,1.276553637,-0.000133366,0.021299612
4.100000,1.276727863,-0.000133374,0.021299612
4.110000,1.276898904,-0.000133383,0.021299612
4.120000,1.277066818,-0.000133391,0.021299612
4.130000,1.277231662,-0.000133399,0.021299612
4.140000,1.277393492,-0.000133407,0.021299612
4.150000,1.277552364,-0.000133415,0.021299612
4.160000,1.277708331,-0.000133423,0.021299612
4.170000,1.277861447,-0.000133430,0.021299612
4.180000,1.278011763,-0.000133437,0.021299612
4.190000,1.278159331,-0.000133445,0.021299612
4.200000,1.278304201,-0.000133452,0.021299612
4.210000,1.278446423,-0.000133459,0.021299612
4.220000,1.278586044,-0.000133466,0.021299612
4.230000,1.278723113,-0.000133473,0.021299612
4.240000,1.278857676,-0.000133479,0.021299612
4.250000,1.278989779,-0.000133486,0.021299612
4.260000,1.279119467,-0.000133492,0.021299612
4.270000,1.279246783,-0.000133498,0.021299612
4.280000,1.279371772,-0.000133504,0.021299612
4.290000,1.279494476,-0.000133510,0.021299612
4.300000,1.279614937,-0.000133516,0.021299612
4.310000,1.279733195,-0.000133522,0.021299612
4.320000,1.279849291,-0.000133528,0.021299612
4.330000,1.279963265,-0.000133534,0.021299612
4.340000,1.280075155,-0.000133539,0.021299612
4.350000,1.280184999,-0.000133545,0.021299612
4.360000,1.280292835,-0.000133550,0.021299612
4.370000,1.280398700,-0.000133555,0.021299612
4.380000,1.280502629,-0.000133560,0.021299612
4.390000,1.280604658,-0.000133565,0.021299612
4.400000,1.280704822,-0.000133570,0.021299612
4.410000,1.280803155,-0.000133575,0.021299612
