t,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6
1.677487373352050781e+00,-1.031966255960221068e-01,-4.982275964722928108e-01,3.000005263277479295e-01,2.399879310646324190e-02,2.210519524210662556e+00,2.210520247702812302e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.470231358204976857e+00,-2.042567078267232716e+00,-2.120651070271627248e+00,1.021625161170959473e+00,-1.693074051533834279e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.685555219650268555e+00,-1.031966255960221068e-01,-4.982275964722928108e-01,3.000005263277479295e-01,2.399879310646324190e-02,2.210519524210662556e+00,2.210520247702812302e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.470231358204976857e+00,-2.042567078267232716e+00,-2.120651070271627248e+00,1.021625161170959473e+00,-1.693074051533834279e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.694312334060668945e+00,-1.031966255960221068e-01,-4.982275964722928108e-01,3.000005263277479295e-01,2.399879310646324190e-02,2.210519524210662556e+00,2.210520247702812302e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.470231358204976857e+00,-2.042567078267232716e+00,-2.120651070271627248e+00,1.021625161170959473e+00,-1.693074051533834279e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703015089035034180e+00,-1.031648795762780402e-01,-4.982339671616457522e-01,3.000005263277031875e-01,2.394424744159453014e-02,2.210544615488597486e+00,2.210545339007096821e+00,8.123874324050985377e-03,-1.639031460249701843e-03,-6.098719430847487847e-09,-3.899568753241211532e-07,-3.835832543102413639e-08,1.271949894726285245e-02,-1.470169846211568654e+00,-2.042567078267232716e+00,-2.120651070271627248e+00,1.021625161170959473e+00,-1.693085972462789357e+00,-3.141593043004171193e+00,1.574400067329406738e-02,-8.807455742498859763e-06,1.710730248305480927e-05,-7.908009138191118836e-06,-3.024501726031303406e-03,0.000000000000000000e+00
1.711662769317626953e+00,-1.030782870156881914e-01,-4.982515298028533657e-01,3.000006360459362975e-01,2.379472085590059877e-02,2.210613744992346419e+00,2.210613682874855268e+00,1.535841679301522614e-02,-3.097695035872161714e-03,-1.246724344414066687e-08,-7.367510209446483830e-07,-7.465077439121491055e-08,2.400171849876627309e-02,-1.470001999531881154e+00,-2.042567078267232716e+00,-2.120650593434469044e+00,1.021625041961669922e+00,-1.693117920552388966e+00,-3.141593043004171193e+00,2.975616045296192169e-02,-1.915986103995237499e-05,3.718376319739036262e-05,-1.728337883832864463e-05,-5.754441954195499420e-03,0.000000000000000000e+00
1.720748186111450195e+00,-1.029399502920690102e-01,-4.982794274935178347e-01,3.000007457646085007e-01,2.355705933367989446e-02,2.210723394148510490e+00,2.210722546389858323e+00,2.216209982688177940e-02,-4.465515535804020705e-03,-1.615761656024315043e-08,-1.068195751010556931e-06,-1.115219701973960865e-07,3.458592016249933954e-02,-1.469734017048970998e+00,-2.042567078267232716e+00,-2.120650116597310841e+00,1.021624922752380371e+00,-1.693169895802633107e+00,-3.141593043004171193e+00,4.292789846658706665e-02,-3.028552964678965509e-05,5.875765054952353239e-05,-2.739812407526187599e-05,-8.341978304088115692e-03,0.000000000000000000e+00
1.729751586914062500e+00,-1.027508456967686640e-01,-4.983175162213842047e-01,3.000006349587215349e-01,2.323288486239290587e-02,2.210872203368295263e+00,2.210871879544266339e+00,2.888680383334724794e-02,-5.811591017652731339e-03,-2.386406291157603832e-08,-1.380170636310170476e-06,-1.420411561047812889e-07,4.501852951943857012e-02,-1.469367806111470998e+00,-2.042567555104390919e+00,-2.120649639760152638e+00,1.021624684333801270e+00,-1.693241421376363576e+00,-3.141593043004171193e+00,5.593974888324737549e-02,-4.280123539501801133e-05,8.299641922349110246e-05,-3.880772419506683946e-05,-1.092121936380863190e-02,0.000000000000000000e+00
1.737551689147949219e+00,-1.025624399236127471e-01,-4.983553870246238415e-01,3.000005241523203692e-01,2.291024145940226756e-02,2.211020265549466401e+00,2.211020465702673299e+00,3.464903411364773228e-02,-6.958518385155124282e-03,-3.001276780124583417e-08,-1.649658329722059367e-06,-1.672487207324386086e-07,5.396624840795966049e-02,-1.469003025685445607e+00,-2.042568031941549123e+00,-2.120649162922994435e+00,1.021624445915222168e+00,-1.693312946950094044e+00,-3.141593043004171193e+00,6.708871573209762573e-02,-5.295095616020262241e-05,1.026585159706883132e-04,-4.804944546776823699e-05,-1.312246732413768768e-02,0.000000000000000000e+00
1.746826171875000000e+00,-1.025624399236127471e-01,-4.983553870246238415e-01,3.000005241523203692e-01,2.291024145940226756e-02,2.211020265549466401e+00,2.211020465702673299e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.469003025685445607e+00,-2.042568031941549123e+00,-2.120649162922994435e+00,1.021624445915222168e+00,-1.693312946950094044e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.754722595214843750e+00,-1.025624399236127471e-01,-4.983553870246238415e-01,3.000005241523203692e-01,2.291024145940226756e-02,2.211020265549466401e+00,2.211020465702673299e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.469003025685445607e+00,-2.042568031941549123e+00,-2.120649162922994435e+00,1.021624445915222168e+00,-1.693312946950094044e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
